,gene,abundance_r1tar1,psm_r1tar1,abundance_r1tar2,psm_r1tar2,abundance_r1tar3,psm_r1tar3,abundance_r1tcr1,psm_r1tcr1,abundance_r1tcr2,psm_r1tcr2,abundance_r1tcr3,psm_r1tcr3,abundance_r1wtr1,psm_r1wtr1,abundance_r1wtr2,psm_r1wtr2,abundance_r1wtr3,psm_r1wtr3,abundance_r2tar1,psm_r2tar1,abundance_r2tar2,psm_r2tar2,abundance_r2tar3,psm_r2tar3,abundance_r2tcr1,psm_r2tcr1,abundance_r2tcr2,psm_r2tcr2,abundance_r2tcr3,psm_r2tcr3,abundance_r2wtr1,psm_r2wtr1,abundance_r2wtr2,psm_r2wtr2,abundance_r2wtr3,psm_r2wtr3,abundance_r3tar1,psm_r3tar1,abundance_r3tar2,psm_r3tar2,abundance_r3tar3,psm_r3tar3,abundance_r3tcr1,psm_r3tcr1,abundance_r3tcr2,psm_r3tcr2,abundance_r3tcr3,psm_r3tcr3,abundance_r3wtr1,psm_r3wtr1,abundance_r3wtr2,psm_r3wtr2,abundance_r3wtr3,psm_r3wtr3,ENTREZID,neg_log10_pval_abi_turbo_abundance,qval_abi_turbo_abundance,neg_log10_pval_abi_wt_abundance,qval_abi_wt_abundance,neg_log10_pval_abi_turbo_psm,qval_abi_turbo_psm,neg_log10_pval_abi_wt_psm,qval_abi_wt_psm,two_tailed_neg_log10_pval_abi_turbo_abundance,two_tailed_qval_abi_turbo_abundance,two_tailed_neg_log10_pval_abi_wt_abundance,two_tailed_qval_abi_wt_abundance,two_tailed_neg_log10_pval_abi_turbo_psm,two_tailed_qval_abi_turbo_psm,two_tailed_neg_log10_pval_abi_wt_psm,two_tailed_qval_abi_wt_psm,pval_abi_turbo_abundance,pval_abi_wt_abundance,pval_abi_turbo_psm,pval_abi_wt_psm,two_tailed_pval_abi_turbo_abundance,two_tailed_pval_abi_wt_abundance,two_tailed_pval_abi_turbo_psm,two_tailed_pval_abi_wt_psm,average_abundance_turboabi,average_abundance_turbocontrol,average_abundance_wtcontrol,average_psm_turboabi,average_psm_turbocontrol,average_psm_wtcontrol,ratio_abi_turbo_abundance,ratio_abi_wt_abundance,ratio_abi_turbo_psm,ratio_abi_wt_psm,percentage_abi_turbo_abundance,percentage_abi_wt_abundance,percentage_abi_turbo_psm,percentage_abi_wt_psm,known_interactor,rsd_abi_abundance
1468,Grn,20851191.19,7,4453037.625,4,8812160.688,3,9929051.5,3,937476.8125,1,4091383.875,2,0,0,0,0,0,0,16877932.5,3,16532036.75,4,16040119.5,4,7001820.25,2,3539494.25,1,10464393.38,3,0,0,0,0,867809.8125,1,26828259.75,4,38224793.5,5,32729985,4,0,0,0,0,978566,1,0,0,0,0,0,0,14824,1.643066575,0.088194647,7.774456328,0,4.579555613,0.000495238,11.0520482,0,1.34203658,0.067810675,7.473426332,0,4.278525617,0.00030303,10.7510182,0,0.022747487,1.68E-08,2.63E-05,8.87E-12,0.045494974,3.36E-08,5.27E-05,1.77E-11,20149946.28,4104687.341,96423.3125,4.222222222,1.444444444,0.111111111,4.9090088,208.9738027,2.923076923,38,83.07668792,99.52375011,74.50980392,97.43589744,FALSE,50.87160587
1469,Grsf1,7430250,1,1748834.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231413,1.123113972,0.314895238,1.123113972,0.071891403,0,0.73331401,0,0.769336183,0.822083976,0.270143791,0.822083976,0.131753134,0,1,0,0.564664159,0.075315789,0.075315789,1,1,0.150631577,0.150631577,1,1,1019898.292,0,0,0.222222222,0,0,Inf,Inf,Inf,Inf,100,100,100,100,FALSE,228.55981
1470,Gsdmdc1,13157569.13,3,6724277.563,2,18673183,3,22734407.25,4,19258397.75,4,18710916.25,4,0,0,0,0,0,0,0,0,0,0,0,0,19713497.5,3,5439995.25,2,5514820.5,1,0,0,0,0,0,0,2295178.25,1,0,0,1774508.25,1,5099748.188,2,23917937.75,4,29112417.63,5,0,0,0,0,0,0,0,0.002681116,1,2.508685069,0.001275576,0.001354365,1,1.457385497,0.017671028,1.909778519,0.022135546,2.207655074,0.002148551,2.205695487,0.009080074,1.156355501,0.033300725,0.993845519,0.003099666,0.996886317,0.034883054,0.012308963,0.006199332,0.006227368,0.069766108,4736079.577,16611348.67,0,1.111111111,3.222222222,0,0.285111081,Inf,0.344827586,Inf,22.18571493,100,25.64102564,100,FALSE,136.0330927
1471,Gse1,0,0,0,0,0,0,2056157,1,0,0,2555840.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283251.25,2,0,0,0,0,0,0,0,0,286493.9375,1,0,0,0,0,654737.4375,1,386617.8125,1,0,0,0,0,0,0,382034,0.009050264,1,0.779636924,0.18511101,0.07888472,1,0,0.769571167,1.384610347,0.062887064,0.478606928,0.340619366,0.478606928,0.534199297,0,0.564520011,0.979376629,0.166097492,0.833902508,1,0.041246742,0.332194985,0.332194985,1,31832.65972,659622.6944,0,0.111111111,0.666666667,0,0.048258891,Inf,0.166666667,Inf,4.603718741,100,14.28571429,100,FALSE,282.8427125
1472,Gsk3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90946.21094,1,0,0,0,0,0,0,0,0,0,0,0,0,888458.6875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606496,1.118943732,0.325108753,1.118943732,0.075847525,0.779636924,0.530950898,0.779636924,0.216530612,0.817913737,0.279149479,0.817913737,0.138746212,0.478606928,0.53334269,0.478606928,0.356364508,0.076042479,0.076042479,0.166097492,0.166097492,0.152084958,0.152084958,0.332194985,0.332194985,108822.7665,0,0,0.333333333,0,0,Inf,Inf,Inf,Inf,100,100,100,100,FALSE,254.6321564
1473,Gsk3b,26671382.91,6,15065661.06,4,29012523.66,7,2214984.25,1,3961342.875,2,2232278.75,1,2405554.75,1,1570471,1,1170858.625,1,35183746.52,3,36682470.88,4,33572326.55,3,3063213.5,1,34448074.5,2,3576021.25,1,0,0,0,0,0,0,18233564.88,3,18731683.5,3,18591625.53,3,335361.7813,1,778596.125,1,596013.875,1,445249.8125,1,857523.625,1,0,0,56637,4.368017306,0.002,3.089925598,0.000293388,6.471767759,7.02E-05,9.069854287,0,4.066987311,0.001043478,2.788895603,0.000545825,6.170737763,2.72E-05,8.768824291,0,4.29E-05,0.00081297,3.37E-07,8.51E-10,8.57E-05,0.00162594,6.75E-07,1.70E-09,25749442.83,5689542.99,716628.6458,4,1.222222222,0.555555556,4.525748883,35.93136136,3.272727273,7.2,81.90290545,97.2922742,76.59574468,87.80487805,FALSE,30.42404941
1474,Gsn,676449081.4,66,587585652.5,65,757415606.6,78,442959050.5,61,490314124.7,38,490040659.5,34,1386387905,115,1004463630,103,1215012647,101,968102781,30,866129004.8,26,923122836.8,27,1057853599,35,967252722,39,1063451075,38,455058786.9,17,478369271.9,19,1167960960,21,1968700613,49,2181571154,55,1941992666,55,1507156662,59,1533663754,58,1450875297,52,1073379925,42,1157950281,45,414651776.8,17,227753,0.635375936,0.733108857,0.803690715,0.123695256,0.394945072,0.8903311,0.50848958,0.346091408,0.33434594,0.676301344,0.50266072,0.226881897,0.093915076,0.857483456,0.207459585,0.617477921,0.231538952,0.157148154,0.402767972,0.310106179,0.463077905,0.314296308,0.805535944,0.620212357,1207896600,1000396327,928137242.6,50.11111111,46,53.33333333,1.207418067,1.301420247,1.089371981,0.939583333,54.69820534,56.54857033,52.13872832,48.44253491,FALSE,49.29854771
1475,Gspt1,548567114.6,38,628922060.1,40,607043250.5,34,286588528.1,32,306774407.1,31,309304135.9,30,0,0,0,0,0,0,468309423.3,20,387882517.1,21,509347733,22,226464574.4,14,215016838.2,16,176930341.4,15,0,0,0,0,0,0,404911565.6,30,338569071.4,30,295081650.3,25,135879993.8,15,192533313.4,15,128814572.8,14,0,0,0,0,0,0,14852,4.594936594,0.0008,29.10372801,0,2.0144574,0.031531034,16.81132602,0,4.293906599,0.000377953,28.80269801,0,1.713427404,0.023920852,16.51029602,0,2.54E-05,7.88E-30,0.009672586,1.54E-17,5.08E-05,1.58E-29,0.019345172,3.09E-17,465403820.7,219811856.1,0,28.88888889,20.22222222,0,2.117282611,Inf,1.428571429,Inf,67.92077829,100,58.82352941,100,FALSE,23.7998888
1476,Gspt2,0,0,0,0,24358739,17,5688355.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7954024,9,0,0,0,0,0,0,0,0,0,0,0,0,14853,0.579957213,0.754439024,1.123918883,0.06898881,0.574491927,0.687587097,1.113584545,0.057330196,0.278927217,0.697734881,0.822888887,0.126353171,0.273461931,0.64573913,0.812554549,0.104011994,0.263052714,0.075176329,0.266383961,0.076986656,0.526105429,0.150352659,0.532767923,0.153973312,3590307,632039.5,0,2.888888889,1.222222222,0,5.680510474,Inf,2.363636364,Inf,85.03108402,100,70.27027027,100,FALSE,215.8668494
1477,Gsta1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39751.42969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14857,0,0.976457536,0.07888472,0.943916694,0,0.734417112,0,0.765169754,0,0.994454841,0.478606928,0.340761587,0,1,0,0.564015025,1,0.833902508,1,1,1,0.332194985,1,1,0,0,4416.825521,0,0,0.111111111,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
